timestamp,src_ip,session,ttylog,sha256,duplicate,duration_ms,tty_size
2026-08-08T10:26:08.031050Z,112.167.99.220,d33a0d2c1c24,var/lib/cowrie/tty/1d6f385dd0e7ccc3ada3e24e973fd850470dbb222547ea0c1cb7c9f6d9e1dc5e,1d6f385dd0e7ccc3ada3e24e973fd850470dbb222547ea0c1cb7c9f6d9e1dc5e,True,302,901
2026-08-08T10:26:08.936611Z,112.167.99.220,d33a0d2c1c24,var/lib/cowrie/tty/28ba533b0f3c4df63d6b4a5ead73860697bdf735bb353e4ca928474889eb8a15,28ba533b0f3c4df63d6b4a5ead73860697bdf735bb353e4ca928474889eb8a15,True,293,96
2026-08-08T10:26:09.846282Z,112.167.99.220,d33a0d2c1c24,var/lib/cowrie/tty/52a532334011a67d1c41a57eea38ed25893bff4b6c264c748c3f2df576a47f4a,52a532334011a67d1c41a57eea38ed25893bff4b6c264c748c3f2df576a47f4a,True,295,2188
2026-08-08T10:26:11.687600Z,112.167.99.220,d33a0d2c1c24,var/lib/cowrie/tty/4e9fdfe29ef2ada08ab1e29f7b3ef7d297dfa86d002069289e7a7ae21b343904,4e9fdfe29ef2ada08ab1e29f7b3ef7d297dfa86d002069289e7a7ae21b343904,True,1227,0
2026-08-08T10:26:12.555107Z,112.167.99.220,d33a0d2c1c24,var/lib/cowrie/tty/e5cefcb1b141654b896106c8dc78ae972511ca8772b28e593dbe256993fa8437,e5cefcb1b141654b896106c8dc78ae972511ca8772b28e593dbe256993fa8437,True,295,0
2026-08-08T10:26:13.471749Z,112.167.99.220,d33a0d2c1c24,var/lib/cowrie/tty/722079119c91e28374578deb867362aea3f1e9381c78fc96d6228dc393ea6c05,722079119c91e28374578deb867362aea3f1e9381c78fc96d6228dc393ea6c05,True,303,794
2026-08-08T10:26:14.403036Z,112.167.99.220,d33a0d2c1c24,var/lib/cowrie/tty/3fabfde4895f276b5d2448dc4d097af08b38b65d732145b525aab43e562d6bfa,3fabfde4895f276b5d2448dc4d097af08b38b65d732145b525aab43e562d6bfa,True,318,0
2026-08-08T10:26:15.310685Z,112.167.99.220,d33a0d2c1c24,var/lib/cowrie/tty/3e8341eade715d716ae9fe37db380fb9cab5f953782fe691fcf3af29041a344e,3e8341eade715d716ae9fe37db380fb9cab5f953782fe691fcf3af29041a344e,True,294,11
2026-08-08T14:03:07.580733Z,47.112.16.89,b093ca06384f,var/lib/cowrie/tty/28ba533b0f3c4df63d6b4a5ead73860697bdf735bb353e4ca928474889eb8a15,28ba533b0f3c4df63d6b4a5ead73860697bdf735bb353e4ca928474889eb8a15,True,229,96
2026-08-08T23:40:34.908215Z,195.178.110.232,c4158da94ffb,var/lib/cowrie/tty/9dc0f0fe6a402818d0335f679d265004acff9194dd2b7e846fa757fbc4b48ddc,9dc0f0fe6a402818d0335f679d265004acff9194dd2b7e846fa757fbc4b48ddc,True,17602,127
2026-08-08T23:42:09.336331Z,195.178.110.232,4f3fbf5aa704,var/lib/cowrie/tty/9dc0f0fe6a402818d0335f679d265004acff9194dd2b7e846fa757fbc4b48ddc,9dc0f0fe6a402818d0335f679d265004acff9194dd2b7e846fa757fbc4b48ddc,True,19694,127
2026-08-08T23:43:42.786047Z,195.178.110.232,29ba7d7a167a,var/lib/cowrie/tty/9dc0f0fe6a402818d0335f679d265004acff9194dd2b7e846fa757fbc4b48ddc,9dc0f0fe6a402818d0335f679d265004acff9194dd2b7e846fa757fbc4b48ddc,True,18404,127
2026-08-10T16:37:49.237134Z,193.32.162.84,8bf393a4ac3b,var/lib/cowrie/tty/9dc0f0fe6a402818d0335f679d265004acff9194dd2b7e846fa757fbc4b48ddc,9dc0f0fe6a402818d0335f679d265004acff9194dd2b7e846fa757fbc4b48ddc,True,18660,127
2026-08-10T17:50:12.114906Z,20.205.97.67,c9ecea10aa40,var/lib/cowrie/tty/28ba533b0f3c4df63d6b4a5ead73860697bdf735bb353e4ca928474889eb8a15,28ba533b0f3c4df63d6b4a5ead73860697bdf735bb353e4ca928474889eb8a15,True,231,96
2026-08-10T20:29:27.428479Z,195.178.110.228,c5e7588d38e1,var/lib/cowrie/tty/9dc0f0fe6a402818d0335f679d265004acff9194dd2b7e846fa757fbc4b48ddc,9dc0f0fe6a402818d0335f679d265004acff9194dd2b7e846fa757fbc4b48ddc,True,19305,127
2026-08-10T21:33:42.904097Z,92.5.66.49,f0c0840f1f57,var/lib/cowrie/tty/a56145270ce6b3bebd1dd012b73948677dd618d496488bc608a3cb43ce3547dd,a56145270ce6b3bebd1dd012b73948677dd618d496488bc608a3cb43ce3547dd,False,27,48
2026-08-10T21:51:19.371899Z,92.5.66.49,d743a0b49139,var/lib/cowrie/tty/a56145270ce6b3bebd1dd012b73948677dd618d496488bc608a3cb43ce3547dd,a56145270ce6b3bebd1dd012b73948677dd618d496488bc608a3cb43ce3547dd,True,25,54
2026-08-11T00:00:48.403386Z,92.5.66.49,6a2b753b8923,var/lib/cowrie/tty/28ba533b0f3c4df63d6b4a5ead73860697bdf735bb353e4ca928474889eb8a15,28ba533b0f3c4df63d6b4a5ead73860697bdf735bb353e4ca928474889eb8a15,True,26,96
2026-08-11T00:01:11.192910Z,92.5.66.49,1ab7febc1df4,var/lib/cowrie/tty/28ba533b0f3c4df63d6b4a5ead73860697bdf735bb353e4ca928474889eb8a15,28ba533b0f3c4df63d6b4a5ead73860697bdf735bb353e4ca928474889eb8a15,True,26,96
