timestamp,src_ip,session,event_type,dst_ip,dst_port,message,ja4h
2026-09-05T23:50:48.551635Z,116.110.0.113,307a02df0620,cowrie.direct-tcpip.ja4h,ip-who.com,80,JA4H fingerprint for forwarded HTTP to ip-who.com:80: ge11nn010000_4740ae6347b0_000000000000_000000000000,ge11nn010000_4740ae6347b0_000000000000_000000000000
2026-09-05T23:50:48.551911Z,116.110.0.113,307a02df0620,cowrie.direct-tcpip.data,ip-who.com,80,discarded direct-tcp forward request 0 to ip-who.com:80 with data b'GET /json/ HTTP/1.1\r\nHost: ip-who.com\r\n\r\n',
2026-09-05T23:52:04.673919Z,116.110.0.113,8173738a9084,cowrie.direct-tcpip.request,ip-who.com,80,direct-tcp connection request to ip-who.com:80 from :0,
2026-09-05T23:52:04.893772Z,116.110.0.113,8173738a9084,cowrie.direct-tcpip.ja4h,ip-who.com,80,JA4H fingerprint for forwarded HTTP to ip-who.com:80: ge11nn010000_4740ae6347b0_000000000000_000000000000,ge11nn010000_4740ae6347b0_000000000000_000000000000
2026-09-05T23:52:04.894080Z,116.110.0.113,8173738a9084,cowrie.direct-tcpip.data,ip-who.com,80,discarded direct-tcp forward request 0 to ip-who.com:80 with data b'GET /json/ HTTP/1.1\r\nHost: ip-who.com\r\n\r\n',
2026-09-05T23:52:51.470003Z,116.110.0.113,2172f41055e2,cowrie.direct-tcpip.request,ip-who.com,80,direct-tcp connection request to ip-who.com:80 from :0,
2026-09-05T23:52:51.703820Z,116.110.0.113,2172f41055e2,cowrie.direct-tcpip.ja4h,ip-who.com,80,JA4H fingerprint for forwarded HTTP to ip-who.com:80: ge11nn010000_4740ae6347b0_000000000000_000000000000,ge11nn010000_4740ae6347b0_000000000000_000000000000
2026-09-05T23:52:51.704103Z,116.110.0.113,2172f41055e2,cowrie.direct-tcpip.data,ip-who.com,80,discarded direct-tcp forward request 0 to ip-who.com:80 with data b'GET /json/ HTTP/1.1\r\nHost: ip-who.com\r\n\r\n',
2026-09-05T23:52:59.809068Z,116.110.0.113,72045787891e,cowrie.direct-tcpip.request,ip-who.com,80,direct-tcp connection request to ip-who.com:80 from :0,
2026-09-05T23:53:00.356579Z,116.110.0.113,72045787891e,cowrie.direct-tcpip.ja4h,ip-who.com,80,JA4H fingerprint for forwarded HTTP to ip-who.com:80: ge11nn010000_4740ae6347b0_000000000000_000000000000,ge11nn010000_4740ae6347b0_000000000000_000000000000
2026-09-05T23:53:00.356878Z,116.110.0.113,72045787891e,cowrie.direct-tcpip.data,ip-who.com,80,discarded direct-tcp forward request 0 to ip-who.com:80 with data b'GET /json/ HTTP/1.1\r\nHost: ip-who.com\r\n\r\n',
2026-09-05T23:53:19.995840Z,116.110.0.113,9afd258b5680,cowrie.direct-tcpip.request,ip-who.com,80,direct-tcp connection request to ip-who.com:80 from :0,
2026-09-05T23:53:20.255574Z,116.110.0.113,9afd258b5680,cowrie.direct-tcpip.ja4h,ip-who.com,80,JA4H fingerprint for forwarded HTTP to ip-who.com:80: ge11nn010000_4740ae6347b0_000000000000_000000000000,ge11nn010000_4740ae6347b0_000000000000_000000000000
2026-09-05T23:53:20.255866Z,116.110.0.113,9afd258b5680,cowrie.direct-tcpip.data,ip-who.com,80,discarded direct-tcp forward request 0 to ip-who.com:80 with data b'GET /json/ HTTP/1.1\r\nHost: ip-who.com\r\n\r\n',
